id,name,symbol,decimals,network_to_contract,description
825,Tether USDt,USDT,6,"{'ethereum': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'polygon': '0xc2132d05d31c914a87c6611c10748aeb04b58e8f', 'optimism': '0x94b008aa00579c1307b0ef2c499ad98a8ce58e58', 'arbitrum': '0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9'}","Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 115,084,537,326.48473 with 112,559,949,271.11937 in circulation. The last known price of Tether USDt is 0.99938841 USD and is down -0.01 over the last 24 hours. It is currently trading on 88668 active market(s) with $31,344,806,889.63 traded over the last 24 hours. More information can be found at https://tether.to."
3408,USDC,USDC,6,"{'ethereum': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'arbitrum': '0xaf88d065e77c8cC2239327C5EDb3A432268e5831', 'optimism': '0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85', 'polygon': '0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359', 'base': '0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913'}","USDC (USDC) is a cryptocurrency and operates on the Ethereum platform. USDC has a current supply of 32,464,678,285.087307. The last known price of USDC is 0.99999264 USD and is up 0.00 over the last 24 hours. It is currently trading on 19740 active market(s) with $2,445,959,210.77 traded over the last 24 hours. More information can be found at https://www.centre.io/usdc."
5994,Shiba Inu,SHIB,18,{'ethereum': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'},"Shiba Inu (SHIB) is a cryptocurrency and operates on the Ethereum platform. Shiba Inu has a current supply of 589,519,821,589,731 with 589,271,378,849,348.2 in circulation. The last known price of Shiba Inu is 0.00002088 USD and is up 0.02 over the last 24 hours. It is currently trading on 831 active market(s) with $170,567,655.21 traded over the last 24 hours. More information can be found at https://shibatoken.com/."
1975,Chainlink,LINK,18,"{'ethereum': '0x514910771af9ca656af840dff83e8264ecf986ca', 'polygon': '0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39', 'optimism': '0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6', 'arbitrum': '0xf97f4df75117a78c1A5a0DBb814Af92458539FB4'}","Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 587,099,970.4527867 in circulation. The last known price of Chainlink is 15.08275664 USD and is up 0.75 over the last 24 hours. It is currently trading on 1793 active market(s) with $210,109,973.54 traded over the last 24 hours. More information can be found at https://chain.link/."
7083,Uniswap,UNI,18,"{'ethereum': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984', 'polygon': '0xb33eaad8d922b1083446dc23f610c2567fb5180f', 'arbitrum': '0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0'}","Uniswap (UNI) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Uniswap has a current supply of 1,000,000,000 with 599,957,294.71 in circulation. The last known price of Uniswap is 11.45854742 USD and is down -0.27 over the last 24 hours. It is currently trading on 1045 active market(s) with $207,454,491.57 traded over the last 24 hours. More information can be found at https://uniswap.org/blog/uni/."
3957,UNUS SED LEO,LEO,18,{'ethereum': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'},"UNUS SED LEO (LEO) is a cryptocurrency and operates on the Ethereum platform. UNUS SED LEO has a current supply of 985,239,504 with 926,202,276.9 in circulation. The last known price of UNUS SED LEO is 5.79309356 USD and is up 1.02 over the last 24 hours. It is currently trading on 47 active market(s) with $791,855.61 traded over the last 24 hours. More information can be found at https://www.bitfinex.com/."
4943,Dai,DAI,18,"{'ethereum': '0x6b175474e89094c44da98b954eedeac495271d0f', 'polygon': '0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063', 'optimism': '0xda10009cbd5d07dd0cecc66161fc93d7c9000da1', 'arbitrum': '0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1'}","Dai (DAI) is a cryptocurrency and operates on the Ethereum platform. Dai has a current supply of 5,347,888,595.7464075. The last known price of Dai is 0.99990414 USD and is down -0.01 over the last 24 hours. It is currently trading on 3271 active market(s) with $315,228,075.24 traded over the last 24 hours. More information can be found at https://makerdao.com/."
24478,Pepe,PEPE,18,{'ethereum': '0x6982508145454ce325ddbe47a25d4ec3d2311933'},"Pepe (PEPE) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Pepe has a current supply of 420,689,899,999,994.8. The last known price of Pepe is 0.00001201 USD and is down -0.50 over the last 24 hours. It is currently trading on 398 active market(s) with $524,549,123.17 traded over the last 24 hours. More information can be found at https://www.pepe.vip/."
5690,Render,RNDR,18,"{'ethereum': '0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24', 'polygon': '0x61299774020dA444Af134c82fa83E3810b309991'}","Render (RNDR) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Render has a current supply of 532,073,612.7544133 with 388,646,672.47441334 in circulation. The last known price of Render is 8.21874657 USD and is up 1.91 over the last 24 hours. It is currently trading on 417 active market(s) with $83,950,038.03 traded over the last 24 hours. More information can be found at https://rendernetwork.com/."
27075,Mantle,MNT,18,{'ethereum': '0x3c3a81e81dc49a522a592e7622a7e711c06bf354'},"Mantle (MNT) is a cryptocurrency and operates on the Ethereum platform. Mantle has a current supply of 6,219,316,794.99 with 3,264,441,707.8368406 in circulation. The last known price of Mantle is 0.89597344 USD and is down -0.11 over the last 24 hours. It is currently trading on 75 active market(s) with $149,821,563.89 traded over the last 24 hours. More information can be found at https://www.mantle.xyz/."
3897,OKB,OKB,18,{'ethereum': '0x75231f58b43240c9718dd58b4967c5114342a86c'},"OKB (OKB) is a cryptocurrency and operates on the Ethereum platform. OKB has a current supply of 300,000,000 with 60,000,000 in circulation. The last known price of OKB is 46.12361824 USD and is up 0.34 over the last 24 hours. It is currently trading on 124 active market(s) with $2,577,383.56 traded over the last 24 hours. More information can be found at https://www.okx.com/."
11841,Arbitrum,ARB,18,"{'arbitrum': '0x912CE59144191C1204E64559FE8253a0e49E6548', 'ethereum': '0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1'}","Arbitrum (ARB) is a cryptocurrency launched in 2023and operates on the Arbitrum platform. Arbitrum has a current supply of 10,000,000,000 with 2,896,440,329 in circulation. The last known price of Arbitrum is 0.92411385 USD and is down -0.45 over the last 24 hours. It is currently trading on 929 active market(s) with $122,655,973.29 traded over the last 24 hours. More information can be found at https://arbitrum.foundation."
10603,Immutable,IMX,18,{'ethereum': '0xf57e7e7c23978c3caec3c3548e3d615c346e79ff'},"Immutable (IMX) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Immutable has a current supply of 2,000,000,000 with 1,507,875,589.3898141 in circulation. The last known price of Immutable is 1.7179693 USD and is down -2.28 over the last 24 hours. It is currently trading on 290 active market(s) with $39,296,876.10 traded over the last 24 hours. More information can be found at https://www.immutable.com/."
26081,First Digital USD,FDUSD,18,{'ethereum': '0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409'},"First Digital USD (FDUSD) is a cryptocurrency launched in 2023and operates on the Ethereum platform. First Digital USD has a current supply of 2,547,322,770.3. The last known price of First Digital USD is 0.998592 USD and is down -0.01 over the last 24 hours. It is currently trading on 312 active market(s) with $2,548,024,297.68 traded over the last 24 hours. More information can be found at https://firstdigitallabs.com/."
11840,Optimism,OP,18,{'optimism': '0x4200000000000000000000000000000000000042'},"Optimism (OP) is a cryptocurrency and operates on the Optimism platform. Optimism has a current supply of 4,294,967,296 with 1,086,889,963 in circulation. The last known price of Optimism is 2.07791278 USD and is up 0.65 over the last 24 hours. It is currently trading on 539 active market(s) with $149,578,554.29 traded over the last 24 hours. More information can be found at https://www.optimism.io/."
6719,The Graph,GRT,18,"{'ethereum': '0xc944e90c64b2c07662a292be6244bdf05cda44a7', 'arbitrum': '0x9623063377AD1B27544C965cCd7342f7EA7e88C7'}","The Graph (GRT) is a cryptocurrency launched in 2018and operates on the Ethereum platform. The Graph has a current supply of 10,799,176,191.136143 with 9,509,975,968.505518 in circulation. The last known price of The Graph is 0.23656917 USD and is down -1.46 over the last 24 hours. It is currently trading on 483 active market(s) with $43,316,659.90 traded over the last 24 hours. More information can be found at https://thegraph.com."
1518,Maker,MKR,18,{'ethereum': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'},"Maker (MKR) is a cryptocurrency and operates on the Ethereum platform. Maker has a current supply of 977,631.03695089 with 927,898.0324557 in circulation. The last known price of Maker is 2,408.15792197 USD and is up 4.32 over the last 24 hours. It is currently trading on 481 active market(s) with $41,503,744.58 traded over the last 24 hours. More information can be found at https://makerdao.com/."
10804,FLOKI,FLOKI,9,{'ethereum': '0xcf0c122c6b73ff809c693db761e7baebe62b6a2e'},"FLOKI (FLOKI) is a cryptocurrency launched in 2021and operates on the Ethereum platform. FLOKI has a current supply of 9,690,410,929,643.75 with 9,559,419,912,967.467 in circulation. The last known price of FLOKI is 0.0002054 USD and is down -0.70 over the last 24 hours. It is currently trading on 503 active market(s) with $170,405,488.11 traded over the last 24 hours. More information can be found at https://floki.com/."
8000,Lido DAO,LDO,18,"{'ethereum': '0x5a98fcbea516cf06857215779fd812ca3bef1b32', 'arbitrum': '0x13Ad51ed4F1B7e9Dc168d8a00cB3f4dDD85EfA60'}","Lido DAO (LDO) is a cryptocurrency and operates on the Ethereum platform. Lido DAO has a current supply of 1,000,000,000 with 893,005,501.2382485 in circulation. The last known price of Lido DAO is 2.2049555 USD and is up 7.73 over the last 24 hours. It is currently trading on 403 active market(s) with $99,462,238.37 traded over the last 24 hours. More information can be found at https://lido.fi/."
8425,JasmyCoin,JASMY,18,{'ethereum': '0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC'},"JasmyCoin (JASMY) is a cryptocurrency launched in 2016and operates on the Ethereum platform. JasmyCoin has a current supply of 50,000,000,000 with 49,299,999,677.16958 in circulation. The last known price of JasmyCoin is 0.03660535 USD and is up 5.12 over the last 24 hours. It is currently trading on 224 active market(s) with $137,540,462.30 traded over the last 24 hours. More information can be found at https://www.jasmy.co.jp/en_company.html."
